               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.057699,            0.013922,            0.018839,             0.71445,             0.74979,             0.78693,             0.12033,            0.042346,           0.0087552,              0.0118,           0.0021072,           0.0021072,            0.080007
                  74,            0.050199,            0.013887,            0.016761,             0.74682,                 0.8,             0.82877,             0.13537,            0.043582,           0.0088376,            0.012299,            0.002133,            0.002133,            0.079733
                  75,            0.055972,            0.012758,            0.017641,             0.81043,             0.77088,             0.87002,             0.52969,            0.044537,           0.0083928,             0.01351,           0.0021587,           0.0021587,            0.079459
                  76,            0.054021,             0.01731,            0.016309,             0.84234,                0.75,             0.84792,             0.55001,            0.040325,           0.0083664,            0.014081,           0.0021842,           0.0021842,            0.079184
                  77,            0.057089,            0.015267,            0.015964,             0.95093,                 0.7,             0.91707,             0.25698,            0.049602,            0.008535,            0.011458,           0.0022097,           0.0022097,             0.07891
                  78,             0.05623,            0.013628,            0.017082,             0.96623,             0.70496,             0.91367,             0.42759,            0.039543,           0.0089798,            0.011786,            0.002235,            0.002235,            0.078635
                  79,            0.057839,            0.018032,            0.017435,             0.94117,                 0.7,             0.91888,             0.18909,            0.049938,           0.0085424,           0.0097219,           0.0022602,           0.0022602,             0.07836
                  80,             0.05859,            0.012464,            0.018632,             0.89518,             0.86715,             0.94341,             0.44843,            0.034311,           0.0086037,            0.010234,           0.0022853,           0.0022853,            0.078085
                  81,            0.051274,            0.015091,            0.016166,             0.37079,             0.92492,             0.45739,             0.10972,            0.048699,           0.0084497,           0.0095043,           0.0023103,           0.0023103,             0.07781
                  82,             0.05471,            0.015531,            0.014502,              0.8047,                 0.8,             0.92138,              0.4881,            0.035222,           0.0086305,           0.0092454,           0.0023351,           0.0023351,            0.077535
                  83,            0.052633,            0.014268,            0.013414,             0.83918,             0.86187,             0.91452,             0.44947,            0.038089,           0.0084914,           0.0093512,           0.0023599,           0.0023599,             0.07726
                  84,            0.052373,            0.015017,            0.018633,             0.99795,             0.74903,             0.89288,             0.56189,            0.037583,           0.0085834,           0.0095224,           0.0023845,           0.0023845,            0.076984
                  85,            0.054494,            0.015299,            0.014787,             0.94353,             0.81754,             0.92725,             0.30939,            0.048345,           0.0081953,           0.0086792,           0.0024089,           0.0024089,            0.076709
                  86,            0.058355,            0.012539,            0.016162,              0.9427,              0.9488,             0.95625,             0.58432,            0.037863,           0.0084021,           0.0085654,           0.0024333,           0.0024333,            0.076433
